,Unnamed: 0,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,Grade,Passed
117,117,GP,M,Minor,U,GT3,T,Secondary,Secondary,other,services,home,father,15-30min,<2h,No,False,False,False,True,True,True,True,False,Excellent,High,Low,No,No,Good,6,14.0,Failed
481,481,MS,F,Minor,R,GT3,T,Middle,Primary,at_home,other,course,mother,30min-1h,<2h,No,False,True,False,True,True,False,False,True,Excellent,High,Normal,No,No,Normal,2,10.0,Failed
274,274,GP,F,Minor,U,GT3,T,Primary,Primary,at_home,other,course,mother,<15min,2-5h,No,True,False,False,False,False,True,False,True,Excellent,Normal,Low,No,No,Good,10,9.0,Passed
63,63,GP,F,Minor,U,GT3,T,Higher,Secondary,teacher,health,home,mother,<15min,5-10h,No,True,True,False,True,True,True,True,False,Normal,High,High,Moderately,A lot,Good,0,13.0,Failed
405,405,GP,F,Major,U,LE3,A,Middle,Secondary,at_home,other,home,other,15-30min,<2h,1-2,False,False,False,False,True,False,True,False,Bad,Low,Normal,Moderately,A lot,Good,16,10.0,Failed
648,648,MS,M,Major,R,LE3,T,Secondary,Middle,services,other,course,mother,30min-1h,<2h,No,False,False,False,False,False,True,True,False,Excellent,High,Low,Moderately,A lot,Good,4,10.0,Failed
633,633,MS,F,Major,R,LE3,T,Higher,Higher,teacher,services,course,mother,<15min,2-5h,No,False,False,False,True,True,True,True,False,Excellent,High,Normal,Moderately,A lot,Bad,1,13.0,Failed
368,368,GP,M,Major,U,LE3,T,Higher,Higher,other,other,reputation,father,<15min,<2h,No,False,True,False,False,True,True,True,False,Excellent,Low,High,Moderately,A lot,Good,2,9.0,Passed
458,458,MS,F,Minor,R,GT3,T,Primary,Primary,other,other,home,father,>1h,>10h,No,False,True,False,False,False,True,True,False,Excellent,Normal,Low,No,No,Bad,0,12.0,Failed
383,383,GP,M,Major,U,LE3,T,Middle,Middle,other,other,course,mother,<15min,>10h,No,False,True,True,True,True,True,True,False,Excellent,High,High,Moderately,A lot,Good,0,11.0,Failed
43,43,GP,M,Minor,U,GT3,T,Middle,Middle,services,services,course,father,<15min,<2h,No,True,True,False,False,True,True,True,False,Excellent,High,Low,No,No,Bad,0,9.0,Passed
497,497,MS,M,Minor,U,GT3,T,Secondary,Secondary,services,at_home,course,mother,15-30min,>10h,1-2,False,True,True,True,True,True,False,False,Excellent,High,High,Moderately,A lot,Good,0,10.0,Failed
271,271,GP,F,Minor,U,GT3,T,Higher,Higher,teacher,services,course,mother,<15min,2-5h,No,False,True,True,False,True,True,True,True,Excellent,Normal,Low,No,A lot,Good,2,11.0,Failed
627,627,MS,M,Major,R,LE3,T,Primary,Middle,at_home,services,other,father,30min-1h,<2h,No,False,True,False,True,True,False,True,True,Excellent,Normal,Normal,Moderately,Moderately,Normal,3,9.0,Passed
103,103,GP,F,Minor,U,GT3,T,Secondary,Middle,services,other,home,mother,15-30min,2-5h,No,True,True,False,False,True,True,True,False,Excellent,Normal,High,No,No,Bad,16,10.0,Failed
211,211,GP,M,Minor,R,LE3,T,Secondary,Secondary,teacher,other,home,father,30min-1h,<2h,No,False,True,False,True,True,True,True,False,Normal,Normal,High,Moderately,A lot,Normal,16,11.0,Failed
107,107,GP,M,Minor,U,GT3,T,Secondary,Secondary,services,other,home,father,<15min,5-10h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,4,13.0,Failed
425,425,MS,F,Minor,R,GT3,T,Primary,Primary,at_home,services,other,mother,<15min,<2h,1-2,False,True,False,False,True,True,False,True,Excellent,Low,Normal,No,No,Bad,6,10.0,Failed
192,192,GP,M,Minor,R,GT3,T,Higher,Middle,teacher,services,other,mother,<15min,<2h,No,False,True,False,True,True,True,True,True,Excellent,Normal,Normal,Moderately,A lot,Normal,8,10.0,Failed
352,352,GP,M,Major,R,GT3,T,Secondary,Secondary,other,services,reputation,father,<15min,2-5h,No,False,False,False,True,True,True,False,True,Excellent,High,Normal,No,Moderately,Good,0,10.0,Failed
445,445,MS,M,Minor,R,GT3,T,Primary,Primary,other,other,course,mother,>1h,2-5h,No,False,True,False,True,True,True,False,True,Excellent,High,High,Moderately,A lot,Good,8,8.0,Passed
397,397,GP,F,Minor,U,GT3,A,Middle,Middle,at_home,at_home,home,father,<15min,2-5h,No,False,True,False,False,True,True,True,True,Normal,Normal,Low,No,Moderately,Good,18,12.0,Failed
592,592,MS,F,Minor,U,GT3,T,Secondary,Secondary,services,services,course,mother,15-30min,<2h,No,False,True,False,False,True,True,True,False,Excellent,High,Normal,No,No,Good,0,12.0,Failed
611,611,MS,F,Major,R,GT3,T,Middle,Middle,services,other,home,mother,15-30min,5-10h,No,False,False,False,False,True,True,True,True,Excellent,Low,Low,No,No,Good,5,14.0,Failed
640,640,MS,M,Major,R,GT3,T,Higher,Middle,other,other,home,father,15-30min,<2h,1-2,False,False,True,False,True,True,False,False,Excellent,High,Normal,A lot,Moderately,Normal,0,4.0,Passed
555,555,MS,F,Minor,R,GT3,T,Primary,Middle,other,other,home,father,<15min,5-10h,No,True,True,False,False,False,True,True,True,Excellent,Normal,High,No,No,Normal,5,13.0,Failed
426,426,MS,F,Minor,R,GT3,T,Secondary,Secondary,at_home,other,course,mother,15-30min,<2h,No,False,True,False,False,True,True,True,False,Excellent,High,High,Moderately,Moderately,Good,4,10.0,Failed
225,225,GP,M,Minor,U,LE3,T,Higher,Higher,services,other,home,mother,<15min,2-5h,No,False,True,False,False,True,True,True,True,Excellent,Normal,High,A lot,A lot,Normal,15,12.0,Failed
157,157,GP,F,Minor,U,LE3,A,Middle,Primary,at_home,other,home,mother,15-30min,<2h,No,False,True,False,True,True,False,True,True,Excellent,High,Low,No,No,Good,0,10.0,Failed
20,20,GP,M,Minor,U,GT3,T,Higher,Secondary,teacher,other,reputation,mother,<15min,2-5h,No,False,False,False,False,True,True,True,False,Excellent,High,Low,No,No,Bad,0,13.0,Failed
279,279,GP,M,Major,U,GT3,T,Secondary,Primary,services,services,other,mother,<15min,<2h,>3,False,False,False,False,False,False,True,True,Excellent,High,High,A lot,A lot,Bad,12,6.0,Passed
587,587,MS,F,Major,R,LE3,T,Middle,Middle,services,services,course,mother,<15min,2-5h,1-2,False,True,False,True,True,True,True,False,Bad,Normal,Normal,No,Moderately,Good,3,7.0,Passed
563,563,MS,M,Minor,U,GT3,T,Middle,Middle,other,other,course,mother,<15min,<2h,1-2,False,False,False,True,True,True,False,True,Bad,Low,Low,Moderately,Moderately,Good,0,2.0,Passed
276,276,GP,M,Minor,U,GT3,T,Middle,Primary,other,other,course,mother,30min-1h,<2h,No,False,False,False,False,True,True,True,False,Excellent,Normal,Normal,No,No,Good,7,15.0,Failed
394,394,GP,F,Minor,R,GT3,A,Secondary,Middle,other,other,home,mother,<15min,2-5h,No,False,True,False,False,True,True,True,False,Excellent,Normal,Normal,Moderately,Moderately,Bad,0,14.0,Failed
432,432,MS,F,Minor,R,GT3,T,Primary,Primary,other,other,other,father,<15min,<2h,1-2,False,True,False,False,False,False,True,False,Excellent,High,High,Moderately,Moderately,Good,0,6.0,Passed
217,217,GP,F,Minor,R,GT3,T,Middle,Middle,other,other,reputation,mother,<15min,<2h,No,False,True,False,False,True,True,True,False,Excellent,Normal,Low,No,Moderately,Normal,21,13.0,Failed
475,475,MS,F,Minor,U,GT3,T,Middle,Middle,other,services,course,mother,15-30min,5-10h,No,False,True,False,True,True,True,False,False,Excellent,Normal,Low,No,No,Good,0,13.0,Failed
305,305,GP,M,Minor,U,GT3,T,Middle,Middle,other,other,home,father,15-30min,<2h,No,False,False,False,False,True,False,True,False,Excellent,High,High,Moderately,Moderately,Good,8,8.0,Passed
494,494,MS,F,Minor,R,LE3,T,Primary,Middle,at_home,other,course,mother,<15min,2-5h,No,False,False,False,True,True,False,True,False,Excellent,High,High,No,Moderately,Normal,0,8.0,Passed
218,218,GP,F,Minor,R,GT3,T,Middle,Middle,services,services,reputation,mother,15-30min,>10h,No,False,True,False,True,False,True,True,False,Excellent,Normal,High,No,No,Good,6,13.0,Failed
582,582,MS,F,Major,U,LE3,A,Primary,Primary,at_home,other,course,mother,<15min,<2h,No,False,True,False,False,True,False,False,False,Bad,High,High,No,No,Good,0,7.0,Passed
188,188,GP,F,Minor,U,LE3,T,Secondary,Secondary,other,other,reputation,mother,15-30min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,High,High,No,No,Good,0,14.0,Failed
287,287,GP,M,Minor,U,LE3,T,Primary,Primary,health,other,course,mother,15-30min,<2h,1-2,False,True,False,True,True,True,True,False,Excellent,High,High,No,Moderately,Good,0,9.0,Passed
449,449,MS,F,Minor,R,GT3,T,Primary,Middle,other,services,course,mother,15-30min,<2h,No,False,False,False,False,True,True,False,False,Excellent,Low,Low,No,No,Bad,3,12.0,Failed
489,489,MS,M,Major,R,GT3,T,Primary,Primary,other,other,home,mother,15-30min,<2h,1-2,False,False,False,True,True,False,True,False,Excellent,High,Normal,Moderately,A lot,Good,0,9.0,Passed
617,617,MS,F,Major,U,LE3,T,Primary,Primary,at_home,services,course,father,15-30min,5-10h,No,False,False,False,False,True,True,True,False,Excellent,Normal,Low,No,No,Good,0,18.0,Failed
621,621,MS,F,Minor,R,GT3,T,Primary,Middle,other,services,course,father,15-30min,2-5h,No,False,False,False,False,False,True,False,False,Normal,Low,Low,No,Moderately,Normal,0,13.0,Failed
471,471,MS,F,Minor,R,GT3,T,Middle,Middle,at_home,other,course,mother,15-30min,2-5h,1-2,False,True,False,True,False,True,False,False,Excellent,High,High,Moderately,Moderately,Good,2,11.0,Failed
340,340,GP,M,Minor,U,GT3,T,Secondary,Secondary,health,other,home,mother,<15min,<2h,No,False,True,False,False,True,True,True,False,Excellent,High,Normal,No,Moderately,Good,0,14.0,Failed
355,355,GP,F,Minor,U,GT3,T,Middle,Secondary,other,other,course,father,15-30min,2-5h,No,False,False,False,True,True,True,True,True,Excellent,Low,Low,No,No,Normal,2,12.0,Failed
602,602,MS,F,Major,U,LE3,T,Middle,Middle,services,services,course,father,15-30min,5-10h,No,False,False,False,False,True,True,True,True,Excellent,High,High,No,A lot,Normal,0,12.0,Failed
565,565,MS,M,Minor,R,LE3,T,Primary,Primary,at_home,other,course,mother,15-30min,<2h,No,False,False,False,True,True,True,True,False,Excellent,High,High,Moderately,A lot,Good,0,9.0,Passed
290,290,GP,F,Major,U,GT3,T,Middle,Middle,services,services,home,mother,<15min,2-5h,No,False,True,False,False,True,True,True,False,Excellent,Normal,Normal,No,No,Good,0,10.0,Failed
529,529,MS,F,Minor,U,LE3,T,Higher,Higher,services,services,other,father,15-30min,<2h,No,False,True,False,False,True,True,False,False,Excellent,Low,Normal,No,Moderately,Good,1,11.0,Failed
83,83,GP,M,Minor,U,LE3,T,Middle,Middle,services,services,home,mother,15-30min,2-5h,No,False,False,True,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Good,2,12.0,Failed
62,62,GP,F,Minor,U,LE3,T,Primary,Middle,other,services,reputation,father,<15min,2-5h,No,True,False,False,True,True,True,True,False,Excellent,High,Normal,No,No,Bad,0,12.0,Failed
247,247,GP,M,Minor,U,GT3,T,Higher,Higher,health,other,reputation,father,<15min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,Low,High,Moderately,A lot,Bad,0,13.0,Failed
544,544,MS,M,Minor,R,LE3,T,Primary,Secondary,other,other,course,father,15-30min,<2h,No,False,False,False,True,True,True,False,True,Excellent,Low,Low,Moderately,Moderately,Good,2,11.0,Failed
421,421,GP,F,Major,U,GT3,T,Primary,None,other,other,reputation,mother,15-30min,<2h,1-2,True,False,False,False,True,True,True,True,Excellent,Normal,Low,No,No,Good,5,9.0,Passed
92,92,GP,F,Minor,U,LE3,T,Secondary,Primary,other,other,home,father,<15min,2-5h,No,True,True,False,False,True,True,False,False,Normal,Normal,Normal,Moderately,Moderately,Bad,0,12.0,Failed
420,420,GP,F,Major,U,LE3,A,Middle,Middle,services,other,reputation,mother,15-30min,2-5h,No,False,True,False,False,True,True,True,False,Excellent,Low,High,No,Moderately,Good,10,16.0,Failed
249,249,GP,M,Minor,U,GT3,T,Secondary,Middle,at_home,other,reputation,mother,15-30min,5-10h,No,False,False,False,True,True,True,True,True,Excellent,Normal,Normal,No,Moderately,Bad,0,12.0,Failed
522,522,MS,F,Minor,U,GT3,T,Higher,Higher,health,health,course,mother,<15min,2-5h,No,False,True,False,False,True,True,True,True,Excellent,Normal,High,No,Moderately,Normal,4,8.0,Passed
638,638,MS,M,Minor,U,GT3,T,Middle,Secondary,other,services,home,father,15-30min,2-5h,No,False,False,False,True,True,True,True,False,Excellent,High,Normal,No,No,Normal,4,15.0,Failed
513,513,MS,F,Minor,U,GT3,T,Secondary,Primary,other,other,course,mother,<15min,<2h,No,False,False,False,True,True,True,True,False,Normal,Low,Normal,No,Moderately,Bad,0,7.0,Passed
487,487,MS,F,Major,R,LE3,A,Secondary,Middle,other,other,course,other,15-30min,5-10h,1-2,False,True,False,False,False,False,False,True,Normal,Normal,Low,No,No,Bad,6,8.0,Passed
514,514,MS,F,Minor,U,GT3,T,Secondary,Middle,services,at_home,course,mother,<15min,<2h,No,False,False,False,False,True,True,True,False,Normal,Low,Normal,No,A lot,Normal,2,6.0,Passed
642,642,MS,F,Minor,U,GT3,T,Higher,Secondary,teacher,other,other,mother,15-30min,2-5h,No,False,False,False,False,True,True,True,False,Excellent,High,High,No,No,Bad,0,8.0,Passed
28,28,GP,M,Minor,U,LE3,A,Secondary,Higher,services,other,home,mother,<15min,2-5h,No,True,True,True,True,True,True,True,False,Excellent,Normal,Normal,No,No,Good,2,12.0,Failed
240,240,GP,F,Minor,U,GT3,T,Secondary,Middle,other,other,course,mother,<15min,2-5h,No,False,False,False,True,False,True,True,False,Excellent,Normal,High,No,Moderately,Normal,2,17.0,Failed
439,439,MS,F,Minor,R,GT3,T,Secondary,Secondary,other,services,course,father,15-30min,<2h,No,False,False,False,False,False,True,True,False,Excellent,Low,Normal,No,No,Good,0,15.0,Failed
610,610,MS,F,Major,R,GT3,A,Primary,Primary,at_home,at_home,course,other,15-30min,2-5h,>3,False,True,False,True,True,False,False,True,Normal,High,High,No,A lot,Bad,0,2.0,Passed
84,84,GP,F,Minor,U,GT3,T,Primary,Primary,other,other,home,father,<15min,2-5h,No,False,True,False,True,False,True,True,False,Excellent,Normal,Low,Moderately,Moderately,Good,2,12.0,Failed
174,174,GP,M,Minor,R,LE3,T,Middle,Primary,at_home,other,course,mother,15-30min,<2h,1-2,False,False,True,True,True,False,True,True,Normal,Normal,Low,Moderately,Moderately,Good,8,8.0,Passed
135,135,GP,F,Minor,U,GT3,A,Secondary,Higher,services,other,course,father,<15min,<2h,No,False,False,False,False,True,True,True,False,Normal,Low,Low,No,A lot,Good,12,14.0,Failed
205,205,GP,F,Minor,U,GT3,T,Primary,Primary,at_home,services,course,mother,<15min,2-5h,No,False,False,False,True,True,True,True,False,Excellent,Normal,Normal,No,No,Normal,0,11.0,Failed
265,265,GP,F,Minor,R,LE3,T,Primary,Primary,at_home,other,course,mother,15-30min,5-10h,No,False,False,False,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Good,4,14.0,Failed
72,72,GP,F,Minor,R,GT3,T,Primary,Primary,other,other,reputation,mother,<15min,2-5h,No,True,True,False,False,False,True,True,True,Normal,Normal,High,Moderately,A lot,Good,2,11.0,Failed
273,273,GP,F,Minor,U,GT3,T,Secondary,Secondary,services,other,home,mother,15-30min,5-10h,No,False,True,False,False,True,True,True,True,Excellent,Low,Low,Moderately,Moderately,Good,10,11.0,Failed
590,590,MS,F,Major,U,GT3,T,Primary,Primary,other,other,course,mother,30min-1h,2-5h,1-2,False,False,False,True,True,True,False,True,Normal,High,High,Moderately,Moderately,Good,3,7.0,Passed
613,613,MS,F,Major,U,GT3,T,Secondary,Secondary,services,services,course,father,<15min,2-5h,No,False,True,False,False,True,True,False,True,Excellent,Normal,High,No,No,Good,0,10.0,Failed
361,361,GP,M,Major,U,GT3,T,Higher,Middle,health,other,course,mother,15-30min,2-5h,No,False,True,False,True,True,True,True,True,Excellent,High,High,No,No,Bad,9,10.0,Failed
636,636,MS,M,Major,U,GT3,T,Higher,Higher,teacher,teacher,home,father,<15min,2-5h,No,False,False,False,True,False,True,True,False,Normal,Low,High,No,A lot,Bad,4,18.0,Failed
328,328,GP,F,Major,U,GT3,T,Primary,Primary,other,other,home,mother,15-30min,2-5h,No,True,False,False,True,True,True,True,False,Excellent,High,High,No,No,Good,0,12.0,Failed
169,169,GP,M,Minor,R,LE3,T,Primary,Middle,other,other,reputation,mother,<15min,<2h,>3,False,False,False,False,True,True,False,False,Bad,Low,Low,Moderately,Moderately,Good,14,9.0,Passed
612,612,MS,M,Minor,R,GT3,T,Higher,Secondary,services,other,home,mother,15-30min,2-5h,1-2,False,True,True,True,False,True,True,True,Excellent,High,High,No,Moderately,Bad,4,10.0,Failed
224,224,GP,F,Major,U,GT3,T,Secondary,Secondary,other,other,reputation,other,<15min,>10h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Normal,4,12.0,Failed
330,330,GP,F,Major,U,GT3,T,Middle,Primary,other,other,reputation,mother,15-30min,2-5h,No,False,False,False,True,True,True,True,True,Excellent,Normal,Low,No,No,Good,10,13.0,Failed
220,220,GP,F,Minor,U,GT3,A,Secondary,Primary,services,other,course,mother,<15min,2-5h,No,False,True,False,False,True,True,True,False,Bad,Normal,Normal,Moderately,Moderately,Good,2,11.0,Failed
385,385,GP,F,Major,U,GT3,T,Middle,Middle,at_home,other,course,mother,>1h,2-5h,No,False,False,False,True,True,True,False,True,Excellent,Low,High,No,No,Bad,2,9.0,Passed
172,172,GP,M,Minor,U,GT3,T,Secondary,Secondary,other,services,course,father,<15min,2-5h,1-2,False,True,False,False,True,True,True,True,Excellent,High,High,A lot,A lot,Good,0,7.0,Passed
350,350,GP,M,Major,R,LE3,T,Middle,Primary,at_home,services,course,mother,15-30min,5-10h,1-2,False,False,False,True,True,True,True,True,Excellent,Normal,Low,No,No,Good,0,10.0,Failed
399,399,GP,F,Major,U,GT3,T,Secondary,Middle,other,services,other,mother,<15min,5-10h,No,False,False,False,False,True,True,True,True,Excellent,High,Normal,Moderately,Moderately,Bad,4,15.0,Failed
491,491,MS,F,Major,U,GT3,T,Primary,Primary,other,other,course,other,15-30min,2-5h,1-2,False,True,False,False,True,True,True,True,Bad,Low,High,A lot,No,Bad,12,8.0,Passed
108,108,GP,M,Minor,R,GT3,T,Higher,Higher,other,other,home,father,>1h,>10h,No,False,True,False,True,True,True,True,True,Bad,Normal,High,Moderately,A lot,Bad,8,11.0,Failed
639,639,MS,M,Major,R,GT3,T,Primary,Primary,other,services,other,mother,15-30min,<2h,1-2,False,False,False,False,True,True,False,False,Excellent,Normal,Low,No,Moderately,Good,0,4.0,Passed
510,510,MS,F,Minor,R,GT3,T,Middle,Middle,other,other,reputation,mother,15-30min,2-5h,No,False,True,False,True,True,True,False,False,Excellent,Normal,Low,No,No,Bad,0,16.0,Failed
12,12,GP,M,Minor,U,LE3,T,Higher,Higher,health,services,course,father,<15min,<2h,No,False,True,False,True,True,True,True,False,Excellent,Normal,Normal,No,Moderately,Good,0,12.0,Failed
140,140,GP,M,Minor,R,GT3,T,Secondary,Higher,at_home,other,course,mother,30min-1h,2-5h,No,False,False,False,False,True,True,False,False,Excellent,High,High,Moderately,A lot,Good,2,9.0,Passed
322,322,GP,F,Major,R,GT3,T,Secondary,Middle,services,services,reputation,father,<15min,2-5h,1-2,True,True,False,False,True,False,True,False,Normal,Normal,Normal,A lot,Moderately,Normal,0,9.0,Passed
530,530,MS,M,Minor,U,GT3,T,Secondary,Secondary,services,services,home,mother,<15min,<2h,No,False,True,False,True,True,True,True,False,Excellent,Low,High,A lot,A lot,Normal,8,8.0,Passed
191,191,GP,M,Minor,U,GT3,T,Secondary,Secondary,other,other,reputation,father,<15min,2-5h,No,False,False,False,True,False,True,True,False,Excellent,Normal,High,No,A lot,Good,4,10.0,Failed
320,320,GP,F,Major,U,GT3,T,Higher,Higher,health,health,reputation,father,<15min,2-5h,1-2,True,True,False,True,True,True,True,True,Bad,High,High,No,No,Good,2,13.0,Failed
131,131,GP,F,Major,U,GT3,T,Middle,Primary,services,other,reputation,mother,<15min,2-5h,>3,False,True,False,True,True,False,True,True,Excellent,High,High,No,Moderately,Good,10,9.0,Passed
382,382,GP,F,Minor,U,GT3,T,Secondary,Secondary,at_home,other,course,mother,<15min,<2h,No,False,True,True,True,True,True,True,False,Excellent,Low,High,Moderately,A lot,Good,2,11.0,Failed
443,443,MS,M,Minor,R,LE3,T,Higher,Primary,health,services,reputation,father,<15min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,Normal,High,No,Moderately,Bad,7,8.0,Passed
310,310,GP,F,Major,R,GT3,T,Middle,Primary,other,other,reputation,mother,15-30min,2-5h,No,False,True,False,False,True,False,True,True,Excellent,Normal,High,No,Moderately,Normal,12,9.0,Passed
364,364,GP,F,Minor,U,GT3,T,Higher,Higher,health,health,course,mother,<15min,<2h,No,False,False,False,True,True,True,True,False,Excellent,Normal,High,No,Moderately,Good,2,15.0,Failed
38,38,GP,F,Minor,R,GT3,T,Secondary,Higher,services,health,course,mother,<15min,5-10h,No,True,True,False,True,True,True,True,False,Excellent,Normal,Low,No,No,Good,2,11.0,Failed
380,380,GP,F,Minor,U,GT3,T,Higher,Higher,teacher,services,course,mother,<15min,5-10h,No,False,True,False,True,True,True,True,False,Excellent,High,High,No,Moderately,Good,0,12.0,Failed
219,219,GP,F,Minor,U,GT3,T,Secondary,Higher,at_home,services,home,mother,<15min,5-10h,1-2,False,True,True,False,True,True,True,True,Excellent,High,Normal,Moderately,A lot,Good,14,8.0,Passed
30,30,GP,M,Minor,U,GT3,T,Higher,Higher,health,services,home,mother,<15min,2-5h,No,False,True,True,False,False,True,True,False,Excellent,High,Low,Moderately,A lot,Good,0,10.0,Failed
597,597,MS,F,Major,R,GT3,T,Middle,Middle,at_home,other,course,mother,30min-1h,2-5h,1-2,False,False,False,True,True,True,False,True,Excellent,Normal,Normal,No,No,Good,0,3.0,Passed
468,468,MS,M,Minor,U,GT3,T,Middle,Middle,health,other,reputation,mother,30min-1h,<2h,No,False,False,False,False,True,True,False,False,Excellent,Normal,Normal,No,Moderately,Good,1,12.0,Failed
442,442,MS,M,Minor,R,LE3,T,Higher,Primary,health,services,reputation,father,<15min,2-5h,No,False,True,False,True,True,True,True,False,Excellent,Normal,High,No,Moderately,Bad,0,13.0,Failed
586,586,MS,F,Minor,U,GT3,T,Higher,Middle,teacher,services,home,mother,<15min,2-5h,No,True,True,False,True,True,True,True,False,Excellent,High,High,No,Moderately,Good,0,5.0,Passed
616,616,MS,M,Major,U,LE3,T,Primary,Primary,other,services,home,father,15-30min,<2h,No,False,False,False,False,False,True,True,True,Normal,Normal,Low,No,Moderately,Normal,2,13.0,Failed
523,523,MS,M,Major,U,LE3,T,Higher,Higher,at_home,health,home,mother,<15min,>10h,No,False,True,False,True,True,False,True,True,Excellent,High,High,A lot,A lot,Good,2,5.0,Passed
